id,Make,Acceleration 0 - 100 km/h,Top Speed,Electric Range,Total Power,Total Torque,BC,Length,Width,Height,Wheelbase,Gross Vehicle Weight (GVWR),Max. Payload,Cargo Volume,Seats,Maintenance Cost,Battery Capacity,Pincode,Date,Time,Month,Location Longitude,Location Latitude
870,BMW,7.2,308,287.6,403,344,73.1,4448,1830,1467,2813,2614,394,413,4,945.1872999999999,61,256308,2024-06-07,14:50:07,Jan,-24.232739,88.648614
871,Polestar,5.3,263,302.0,253,262,72.6,4756,1874,1460,2872,2763,427,508,4,1462.6892666666668,73,329502,2020-05-02,17:01:05,Sep,-70.359504,-52.013196
872,BMW,6.6,291,314.9,450,618,82.8,4445,1847,1436,2963,2933,463,485,5,1612.315,78,143549,2023-11-11,02:16:54,Dec,61.002871,-32.875081
873,Polestar,3.8,214,346.9,387,350,83.6,4325,1807,1474,2890,2968,510,534,5,2162.8249,76,123142,2024-08-26,04:22:03,Feb,-90.779467,-6.768443
874,Tesla,7.0,303,263.4,271,208,72.2,4620,1884,1477,2746,3199,490,491,7,1528.1454,54,670024,2021-09-22,21:23:25,Feb,-80.22951,49.087489
875,Tesla,4.3,238,344.3,490,355,79.7,4503,1817,1419,2929,2840,401,511,5,1423.305,97,648745,2020-03-19,12:27:06,Sep,158.034115,-40.063614
876,BMW,7.9,336,256.1,200,177,72.9,4228,1854,1472,2857,2732,591,497,5,866.9266666666666,63,159417,2021-07-08,18:33:17,Feb,-128.075679,32.005086
877,Tesla,7.8,349,336.3,291,414,83.8,4610,1807,1416,2973,2770,574,436,4,1528.6575,77,172713,2023-05-14,08:34:17,May,80.195934,65.02904
878,Tesla,4.7,236,221.7,322,220,70.0,4216,1834,1427,2945,2734,523,491,5,859.6104,50,977931,2022-12-18,08:10:57,Sep,-76.626897,18.438797
879,BMW,6.0,299,391.7,243,204,76.4,4545,1867,1427,2707,3038,527,447,7,1323.8387,97,416413,2024-05-29,03:23:48,Jan,105.262582,81.139845
880,Polestar,3.6,200,229.5,457,403,70.9,4632,1831,1424,2712,2911,508,481,5,1128.4606333333334,62,853676,2020-04-07,14:16:17,Jun,-31.422058,-51.261856
881,BMW,4.7,261,358.5,493,397,83.7,4296,1894,1402,2768,2845,555,545,5,2631.19,94,348500,2022-12-24,05:38:54,Jun,101.302315,-47.034141
882,Volkswagen,6.8,311,221.1,279,386,71.5,4563,1872,1433,2942,2673,417,495,4,931.3334,58,257645,2023-05-03,14:53:05,Dec,-4.294347,18.937265
883,Tesla,5.9,292,227.2,326,223,72.9,4261,1889,1414,2908,2742,425,441,5,1347.9354,56,131644,2022-09-10,12:29:04,Aug,40.537803,70.963006
884,Polestar,6.7,318,242.4,244,151,74.6,4734,1807,1483,2945,3058,479,420,7,1094.5985333333333,67,808566,2023-12-18,07:36:33,Jun,-5.779897,-81.401432
885,Volkswagen,4.4,229,332.1,431,437,72.6,4412,1859,1487,2944,2840,445,529,5,1642.9489,68,754553,2023-07-11,06:18:27,Aug,-114.017777,38.622869
886,BMW,5.4,279,344.7,374,189,72.0,4658,1833,1441,2781,2668,424,453,4,1700.8245999999997,74,300070,2020-07-04,15:06:54,Feb,-46.461116,-10.117168
887,Tesla,3.9,222,320.9,279,281,78.2,4791,1865,1462,2849,3057,592,493,7,1382.8208,83,725196,2024-05-26,10:52:14,Mar,133.123249,-41.640186
888,Tesla,3.1,197,423.6,426,331,81.2,4468,1899,1463,2956,2995,515,424,7,2088.151,93,378493,2020-01-01,10:31:33,Nov,82.952156,-14.376201
889,Polestar,6.2,284,326.9,412,609,73.6,4233,1880,1447,2876,2841,540,429,4,1739.286933333333,67,418833,2024-01-26,08:49:53,Apr,31.459323,27.268987
890,Polestar,5.0,270,367.0,242,140,81.7,4440,1889,1403,2793,2825,400,461,4,816.1239333333333,81,217892,2023-06-01,03:19:52,Mar,63.299963,-4.840634
891,Polestar,4.0,222,363.5,218,165,83.8,4583,1856,1437,2735,2921,443,480,7,1357.1745333333333,95,147934,2021-07-29,10:11:24,Oct,-165.507486,10.837088
892,Volkswagen,7.1,303,348.2,298,245,73.7,4593,1842,1461,2749,2808,589,504,5,981.4906666666666,71,671052,2023-08-31,14:58:09,Sep,22.411734,48.96985
893,BMW,5.8,289,422.4,361,191,84.5,4636,1868,1451,2871,2921,440,446,5,1177.8903333333333,97,343969,2022-03-02,16:26:07,Jan,107.173947,-30.963896
894,Volkswagen,3.8,232,188.8,402,346,70.6,4230,1897,1452,2708,3004,532,535,7,1987.4130000000002,52,777330,2022-05-14,05:14:10,Sep,126.165818,-31.054237
895,BMW,3.6,199,299.1,468,494,72.4,4641,1825,1472,2934,2759,527,471,4,1486.064,67,864284,2022-02-27,21:24:50,Jul,-102.454966,58.490109
896,Volkswagen,4.4,244,306.1,223,290,77.1,4760,1801,1435,2887,2841,440,454,4,1151.5186999999999,75,814420,2022-03-27,06:52:14,Aug,-74.735436,-79.37824
897,BMW,7.1,333,293.2,473,240,71.8,4250,1848,1462,2986,2999,527,471,7,1935.9217,74,940911,2024-05-01,03:37:12,Aug,-170.708822,-84.484399
898,Polestar,7.4,335,431.8,261,355,79.3,4367,1877,1457,2850,2811,566,475,5,853.78,87,439796,2020-07-22,13:22:28,Sep,95.541545,35.225564
899,Volkswagen,5.1,253,277.7,426,507,73.2,4388,1886,1475,2757,2765,491,397,4,1342.1628,63,110454,2024-05-30,21:34:33,Aug,-132.84714,31.951558
900,Tesla,5.8,280,287.0,392,586,73.9,4796,1829,1422,2984,2622,539,415,4,1594.0696,68,166430,2024-01-13,22:53:49,Jul,131.876532,-38.196239
901,BMW,7.4,319,437.4,489,512,84.7,4290,1897,1459,2749,2736,497,495,4,1258.5872,91,712896,2022-03-26,19:20:47,Aug,-104.347455,-62.484975
902,Tesla,4.5,245,201.1,367,387,70.9,4445,1824,1439,2960,2817,406,411,4,1187.0342666666668,54,597462,2022-09-30,14:56:45,May,127.528985,-9.438805
903,Polestar,6.1,293,273.7,351,256,72.8,4450,1809,1447,2906,3012,497,487,7,1084.5962,72,387876,2020-02-08,03:12:11,Dec,-11.377262,-3.101642
904,BMW,6.8,298,325.5,475,434,76.7,4297,1825,1494,2909,2984,452,519,7,1735.0366666666666,80,909325,2020-09-16,04:44:35,Nov,-28.396007,21.333959
905,Volkswagen,7.4,341,472.1,442,312,83.2,4557,1892,1494,2754,2898,561,500,4,1773.1516666666666,96,308833,2022-09-02,06:27:40,Apr,-50.957003,-78.037052
906,BMW,5.9,271,284.6,361,221,83.7,4366,1878,1499,2880,2915,502,477,5,1547.0248666666666,80,343126,2024-04-20,14:52:11,Dec,107.013471,78.472988
907,Volkswagen,4.2,229,255.3,485,564,70.1,4739,1837,1459,2774,2964,636,497,7,2375.942,53,330121,2023-08-05,02:28:57,Oct,-114.429373,-13.47257
908,Polestar,3.2,201,365.3,434,368,77.5,4266,1860,1410,2964,2863,523,467,5,2201.1048666666666,89,787855,2023-01-20,13:07:46,Jun,148.865155,35.983173
909,Polestar,4.5,230,362.9,400,390,82.4,4446,1828,1453,2832,2779,557,424,5,1639.2,97,999668,2020-01-18,14:31:39,Mar,141.012244,-11.737001
910,Polestar,4.2,227,305.0,263,359,74.4,4278,1848,1421,2743,2907,450,513,5,1006.8526333333334,68,154618,2020-05-12,02:40:49,Dec,73.35006,29.046995
911,Volkswagen,7.5,327,318.0,262,353,70.8,4603,1815,1466,2897,2724,381,505,4,1221.6952,69,670164,2023-10-30,15:09:11,Mar,-72.119902,54.471646
912,Volkswagen,7.9,347,263.7,229,184,74.5,4719,1842,1410,2935,3066,577,538,7,1360.6838666666667,55,388141,2024-05-03,04:57:52,Aug,177.563319,48.60691
913,BMW,7.0,318,346.9,302,172,84.7,4313,1857,1453,2969,2916,481,449,5,765.7153333333332,77,498238,2024-06-30,23:39:59,May,110.457651,22.142998
914,Volkswagen,4.7,234,285.5,308,318,78.3,4562,1803,1425,2983,2714,524,509,4,778.886,80,628758,2023-12-31,14:32:54,Jan,124.341059,19.457525
915,Tesla,7.8,332,365.4,221,186,77.5,4476,1848,1422,2870,2757,456,465,5,1003.168,86,500784,2024-06-30,13:26:46,May,158.798607,52.668716
916,Polestar,6.0,273,219.8,340,242,70.5,4742,1810,1441,2991,2918,594,466,7,1168.8333333333333,59,867621,2022-02-19,22:41:08,Apr,58.620588,18.855722
917,Polestar,8.0,348,284.8,420,498,79.7,4201,1816,1491,2923,2822,384,500,4,2200.95,79,344318,2023-06-02,03:45:26,Dec,10.427229,69.314895
918,Volkswagen,6.7,313,446.0,212,236,79.5,4582,1869,1422,2829,2726,560,422,4,932.4741333333333,94,657110,2022-08-10,07:04:08,Jun,35.745499,10.386905
919,Tesla,7.2,321,328.2,297,439,83.7,4269,1892,1480,2966,3004,462,504,7,1633.4360000000001,76,123711,2023-11-27,00:00:14,Aug,133.525151,48.310107
920,Tesla,5.8,285,358.7,448,584,81.6,4237,1873,1488,2955,2743,544,460,5,2199.6064,79,418505,2020-03-16,01:34:54,May,53.175216,65.991683
921,Polestar,7.3,312,322.0,200,201,78.9,4792,1870,1483,2884,3041,503,545,7,763.46,86,553608,2022-04-04,06:18:29,May,108.8028,-56.352761
922,Tesla,8.0,353,205.2,299,327,70.2,4216,1883,1436,2846,3065,637,507,7,1622.8429999999998,54,929676,2020-09-10,12:01:21,Jan,111.635157,-22.234305
923,Tesla,3.0,191,438.5,458,420,75.9,4494,1900,1487,2922,2854,558,507,4,2332.9670666666666,93,859277,2020-09-23,03:15:08,Jan,160.718907,83.581828
924,Polestar,4.5,238,292.6,472,373,73.3,4793,1824,1424,2982,2622,569,484,4,1884.5050666666666,73,546784,2021-06-08,15:14:57,Nov,0.519821,3.06222
925,BMW,5.9,278,331.8,427,398,84.5,4716,1830,1488,2758,2646,488,477,4,1766.9192000000003,90,447522,2020-11-18,22:01:35,Aug,-81.4068,2.846027
926,Volkswagen,3.9,235,248.0,500,279,73.4,4256,1805,1400,2787,2679,492,417,4,2202.6666666666665,61,221591,2023-05-24,06:56:38,Aug,-89.452459,-23.203377
927,BMW,6.0,270,423.9,300,171,83.5,4555,1839,1402,2893,2900,589,414,5,1257.1399999999999,95,458538,2022-11-12,20:14:57,Jan,9.387909,58.424972
928,Volkswagen,6.8,305,428.4,331,181,77.9,4770,1860,1444,2964,3011,569,470,7,1046.2474666666667,99,376921,2021-12-18,23:47:33,Oct,112.093519,-46.198195
929,Volkswagen,3.2,199,245.6,408,244,71.3,4514,1869,1447,2832,2942,560,491,7,2335.4912000000004,50,305599,2021-05-03,16:08:45,Apr,138.729579,-68.552009
930,Tesla,3.3,195,334.0,397,552,84.9,4708,1858,1457,2874,2804,512,511,5,1751.4143,88,620429,2021-10-10,20:59:31,Nov,-50.561626,18.936771
931,BMW,5.5,268,351.7,229,164,75.4,4437,1837,1442,2949,3082,539,569,7,1305.2964,99,383157,2020-01-14,19:51:43,Aug,69.317834,-61.562789
932,BMW,4.3,232,251.1,492,371,74.2,4666,1898,1472,2910,2970,406,485,5,1930.3603999999998,57,143204,2024-06-11,21:15:32,Jul,10.357927,-84.835636
933,BMW,4.7,238,346.5,472,611,83.5,4658,1877,1493,2946,2867,585,494,5,2513.5704,97,834687,2024-10-20,22:44:59,Jan,-56.714225,-56.670304
934,Polestar,7.9,339,289.5,359,248,74.8,4426,1879,1437,2819,2612,501,501,4,1359.8093333333336,67,531599,2020-03-30,07:02:37,Oct,165.314699,-40.452135
935,Polestar,3.6,210,289.1,211,107,74.1,4781,1833,1424,2813,2724,505,549,5,908.7631,70,438641,2020-12-29,17:18:51,Dec,-150.574704,-68.639219
936,BMW,5.7,285,392.2,278,384,84.0,4356,1866,1496,2971,2732,524,462,5,1270.8808666666669,90,326734,2020-02-11,15:18:16,Sep,166.676424,-65.853267
937,Volkswagen,7.4,318,352.2,434,471,83.4,4420,1838,1400,2803,2737,430,477,5,1913.9126,86,321791,2022-09-21,22:16:14,Jul,127.493049,-12.834378
938,Volkswagen,3.2,197,434.6,379,481,83.6,4364,1804,1450,2956,2824,386,485,4,1837.3810666666666,98,524881,2021-11-20,15:02:05,Dec,96.582787,-10.805985
939,Polestar,4.5,235,446.1,337,395,81.7,4532,1886,1434,2731,2912,449,441,5,1023.6284333333334,97,757062,2022-12-08,08:50:00,Apr,-146.717945,-39.428272
940,Tesla,7.5,335,240.3,335,282,73.7,4566,1834,1409,2885,2946,595,435,5,1497.8638333333333,50,131531,2023-05-03,20:36:28,Nov,24.452015,-54.556381
941,Volkswagen,4.4,231,331.0,478,286,82.2,4775,1814,1481,2757,2843,572,519,5,1823.4804,83,335532,2022-03-26,00:42:41,Sep,78.659241,61.403599
942,Volkswagen,6.4,292,312.9,287,229,82.2,4800,1805,1465,2702,2793,491,512,5,1550.7509666666667,77,612623,2023-07-19,04:26:39,Aug,53.219044,-52.622218
943,Polestar,3.1,188,290.5,275,151,72.4,4385,1875,1452,2774,3142,617,475,7,888.4866666666667,67,937887,2020-02-13,17:37:39,Aug,93.62738,-52.353925
944,BMW,6.2,288,301.4,288,216,70.7,4316,1843,1422,2797,3135,538,511,7,1003.0687999999999,71,293462,2023-06-11,08:41:37,Sep,-107.411805,-9.806275
945,BMW,4.0,229,236.3,213,315,73.0,4201,1819,1474,2715,2616,472,455,4,1180.0272,61,172338,2023-03-15,07:34:37,Mar,102.911584,10.001347
946,Tesla,3.9,217,394.1,287,307,79.7,4563,1844,1444,2996,2727,561,491,4,1093.6223333333332,90,349337,2024-11-10,22:20:49,Jun,37.198047,-73.041372
947,BMW,4.9,245,285.7,250,190,78.8,4534,1800,1495,2729,3117,631,499,7,1123.2583333333332,80,959128,2023-11-03,13:26:54,Jan,86.199184,-51.692809
948,Polestar,6.2,289,340.3,457,635,84.8,4334,1832,1446,2766,2770,497,429,4,1038.1837,77,636216,2024-01-18,11:54:51,Mar,-55.440568,88.866361
949,Tesla,5.5,265,269.8,479,399,73.7,4202,1827,1424,2778,2998,463,463,5,2280.880166666667,68,166749,2022-07-06,19:31:46,Mar,-37.090552,23.780087
950,Tesla,7.2,325,258.0,348,187,72.8,4589,1814,1486,2827,2890,576,425,5,1782.0236,68,773144,2024-04-24,16:34:27,Apr,-47.983411,30.001858
951,Polestar,5.7,272,331.8,322,348,70.3,4493,1841,1464,2926,2743,461,409,5,1237.7886666666666,69,228849,2023-05-03,08:35:12,Sep,102.118923,38.112732
952,Volkswagen,7.0,304,333.7,433,541,78.0,4720,1830,1422,2824,2921,611,432,7,1825.8372,75,793034,2021-08-29,23:59:24,Jun,42.579711,41.481866
953,Tesla,5.9,280,238.8,346,469,74.3,4285,1823,1452,2990,2663,490,399,4,1488.9999333333335,54,891733,2023-04-22,18:54:34,Jan,-114.442341,-48.533403
954,BMW,3.0,194,369.9,332,379,78.1,4347,1809,1412,2892,2952,508,458,7,1462.9193333333333,79,435291,2024-01-07,01:38:10,Mar,-145.087145,49.503385
955,Tesla,3.7,224,354.4,323,408,84.6,4672,1846,1444,2806,3087,529,424,7,1580.8022666666668,79,313820,2023-04-14,11:44:47,Aug,58.778607,39.084597
956,Tesla,4.9,264,265.6,424,565,74.2,4274,1829,1486,2916,2830,544,522,4,1816.3728,68,593109,2023-04-05,20:15:17,May,-39.943592,-85.180798
957,BMW,6.1,277,242.7,371,261,73.8,4680,1840,1410,2947,2742,500,433,5,2103.874633333333,50,858169,2020-02-05,08:27:22,Aug,-143.295229,55.384382
958,BMW,4.1,218,311.5,253,251,79.5,4541,1800,1490,2851,2928,430,493,5,1279.4485666666667,82,352855,2021-04-28,16:25:23,Sep,34.097533,50.992441
959,Polestar,6.0,284,403.3,336,202,77.7,4741,1874,1410,2781,2736,511,501,4,1723.7264000000002,96,673941,2023-11-16,18:25:48,Apr,-100.148938,-4.458963
960,BMW,6.5,307,286.5,469,358,76.9,4384,1864,1475,2763,2643,522,478,4,2325.0077333333334,75,134430,2023-05-12,08:07:47,Jun,-13.26068,85.26775
961,Tesla,3.2,198,230.8,284,168,74.8,4731,1893,1446,2807,2652,384,443,4,1528.7034666666666,58,506608,2022-09-05,15:08:47,Jan,101.611589,77.865188
962,Polestar,4.0,216,343.7,219,195,74.8,4439,1866,1419,2908,2916,591,498,5,646.1271999999999,73,430912,2022-02-20,22:09:52,Dec,-78.38418,78.963603
963,Volkswagen,5.3,255,239.7,491,506,70.7,4450,1890,1419,2883,2805,426,462,4,1543.5560333333333,50,869981,2021-03-03,15:19:53,Oct,-96.327541,56.282048
964,Polestar,6.0,280,374.2,460,315,81.7,4716,1882,1476,2876,2729,588,493,5,2046.76,96,525678,2020-08-20,18:10:27,Jun,147.32751,-51.115983
965,Polestar,5.9,283,324.8,491,577,77.6,4276,1803,1404,2948,2852,519,405,4,2128.3370333333332,78,915065,2020-09-06,23:36:30,Sep,9.32218,-68.888931
966,Polestar,5.8,285,274.5,358,213,73.2,4546,1827,1480,2863,2606,536,536,4,1122.7569333333333,64,468916,2024-10-06,07:46:17,Oct,-105.943825,31.799188
967,BMW,3.5,203,308.5,394,274,75.1,4731,1837,1469,2725,2821,413,544,5,1994.7239333333332,80,176574,2024-07-10,17:26:14,Feb,87.799667,-69.467357
968,Polestar,7.4,325,228.3,230,162,71.1,4427,1808,1458,2824,2927,502,535,7,1128.1513333333332,54,587506,2021-12-26,18:24:07,Sep,155.021626,23.729316
969,Tesla,4.9,252,415.9,245,323,84.0,4317,1880,1400,2811,2606,437,464,4,828.9068333333333,86,950392,2021-10-11,19:35:16,Aug,-130.011701,87.721083
970,Volkswagen,5.7,287,245.2,380,424,73.0,4600,1820,1417,2954,3041,603,538,7,1730.0459999999998,67,757401,2020-01-04,07:21:37,Apr,114.958946,14.238612
971,Tesla,4.5,242,264.8,428,441,74.1,4392,1839,1496,2751,2909,425,477,5,1045.8802666666668,67,397447,2024-07-06,02:56:49,Dec,32.189989,-45.161757
972,BMW,4.5,235,316.2,212,122,79.2,4421,1871,1437,2752,2747,534,471,5,699.7862666666667,88,652793,2023-01-02,14:23:11,Nov,12.89553,-78.254761
973,Polestar,4.7,241,345.8,326,486,78.9,4332,1875,1460,2773,2943,431,536,5,932.1441333333333,95,426062,2023-07-01,23:02:04,Dec,-95.254548,-3.321
974,BMW,5.4,261,244.3,216,168,73.5,4464,1852,1446,2835,2972,535,488,5,1277.8791999999999,65,192813,2022-02-24,03:49:19,Nov,-102.329061,73.600145
975,Volkswagen,7.9,340,225.1,424,519,72.1,4705,1854,1418,2976,3067,570,471,7,1488.5954666666667,59,819761,2024-01-07,09:46:13,Jun,-177.340503,77.464472
976,BMW,7.5,322,243.4,495,336,70.7,4624,1883,1412,2747,2976,525,428,7,2810.9584999999997,64,525564,2021-09-28,21:58:57,Aug,160.244465,-20.255046
977,Tesla,3.0,182,236.0,416,515,73.2,4757,1816,1409,2864,2715,403,515,5,1152.0405333333333,51,721549,2024-11-06,14:52:22,May,148.622039,-66.330588
978,Tesla,3.2,192,344.5,352,505,76.2,4221,1885,1486,2718,2770,532,527,5,1604.7189333333333,75,443835,2021-06-25,09:05:29,Mar,-66.457964,-27.231921
979,BMW,5.1,257,402.7,236,270,76.5,4442,1862,1442,2964,3072,518,560,7,1100.5665333333332,100,341075,2023-09-22,23:17:01,Aug,-170.795814,-58.473467
980,BMW,7.2,334,382.6,213,141,75.3,4360,1849,1422,2805,2871,406,414,4,1065.2840999999999,98,489119,2021-02-06,15:07:54,Aug,139.54743,-30.473907
981,BMW,7.0,324,420.1,418,483,78.7,4508,1882,1452,2904,2925,479,412,5,1756.5695333333333,87,646485,2023-02-23,12:22:23,Jul,5.729711,-21.308947
982,Tesla,5.1,251,309.0,436,280,70.1,4215,1802,1412,2832,3046,440,500,7,1396.5889333333334,74,269632,2022-12-13,20:27:55,Dec,-134.423202,-15.896945
983,Tesla,5.2,273,213.4,388,221,72.4,4786,1845,1408,2750,2719,461,423,5,1760.6779999999999,57,921091,2023-07-06,22:49:43,Mar,131.217996,66.065178
984,Polestar,6.9,303,337.2,283,227,78.3,4425,1883,1453,2792,3165,499,556,7,1615.5948666666666,91,548117,2023-02-25,19:45:53,Aug,18.246948,6.780654
985,Volkswagen,6.5,301,206.9,257,380,70.4,4669,1827,1465,2885,2781,461,471,5,1163.6007333333334,51,110747,2022-08-03,04:44:54,Jul,69.291659,-15.746785
986,Volkswagen,7.0,315,257.3,447,657,70.9,4585,1823,1484,2706,2850,409,459,4,2038.1981,62,845590,2023-06-20,14:56:10,Dec,-22.755322,-44.516904
987,Tesla,6.5,294,282.3,488,297,73.2,4760,1843,1442,2750,3097,613,454,7,2530.4978666666666,65,652734,2023-03-10,15:14:30,Apr,-11.640627,-22.142513
988,Tesla,4.8,234,409.4,268,341,82.0,4601,1876,1485,2965,3043,551,545,7,1241.6091999999999,88,579843,2020-11-18,13:48:55,Jun,164.706312,11.324601
989,Tesla,3.1,204,227.7,361,362,70.8,4259,1859,1425,2996,3174,494,542,7,1836.4295333333334,63,661442,2023-12-30,07:20:46,Jun,24.593494,46.675314
990,Polestar,7.7,335,332.8,372,245,72.6,4306,1811,1441,2886,2789,409,547,5,1339.7988,70,876374,2021-08-27,18:08:36,Jun,-116.535261,18.053278
991,Polestar,3.8,221,267.4,244,273,71.4,4621,1835,1469,2911,2732,452,512,5,938.2426666666668,64,955847,2020-12-16,05:58:26,Jan,-108.961837,24.211268
992,Polestar,4.9,254,283.8,356,443,72.1,4724,1889,1443,2916,2750,464,439,4,1330.1101333333334,69,889064,2021-03-27,19:33:56,Jan,17.889584,-71.039765
993,Polestar,6.9,316,337.6,454,667,81.6,4620,1814,1452,2909,3048,479,556,7,2300.384,89,849775,2023-10-07,17:55:59,Jun,-131.531823,77.078122
994,BMW,6.2,305,405.9,441,428,79.7,4745,1835,1419,2982,2749,415,441,5,1342.0629999999999,84,215467,2021-02-01,02:10:52,May,45.385425,83.974195
995,Tesla,4.2,233,275.5,466,676,70.7,4385,1843,1464,2704,2907,559,544,5,2169.4850666666666,69,355497,2024-08-09,14:42:30,Feb,169.005897,73.366675
996,Polestar,4.0,220,384.7,394,233,75.6,4658,1806,1495,2831,2822,531,531,5,1937.6596,90,842177,2024-01-15,16:26:01,Feb,-89.504769,30.540642
997,Polestar,4.8,253,431.4,495,468,80.0,4713,1882,1482,2980,3099,536,455,7,2261.6075,87,662925,2020-11-12,21:43:51,Jun,-102.456184,-14.738031
998,Volkswagen,4.7,258,336.5,398,303,79.1,4414,1886,1486,2850,3029,553,438,7,2309.553,96,496501,2020-01-25,23:46:45,Aug,169.664165,44.659887
999,Tesla,4.9,258,295.6,399,274,83.9,4585,1805,1403,2923,2983,514,557,7,1383.9021,80,575290,2020-04-10,09:43:57,Jul,-134.028631,51.453648
1000,BMW,5.8,291,259.9,214,212,70.5,4507,1845,1427,2705,2930,528,424,7,1351.734,60,946046,2021-07-31,01:36:44,Oct,-107.004124,-85.582492
1001,Volkswagen,3.9,219,345.8,375,378,73.9,4517,1872,1447,2830,2784,464,507,4,2001.5125,71,898869,2024-03-30,00:22:27,Jan,22.212425,14.491728
1002,BMW,3.1,203,409.6,364,300,82.3,4587,1868,1420,2738,3032,560,555,7,1513.8293333333334,100,619031,2021-09-03,14:21:48,Sep,-72.115394,78.473797
1003,Tesla,6.6,312,393.0,263,292,75.7,4343,1838,1499,2960,2976,552,511,7,895.8915666666668,80,862411,2021-03-07,09:27:03,Aug,-75.513795,-6.017807
1004,Tesla,4.7,259,336.9,414,428,77.8,4326,1823,1479,2802,2640,570,518,4,1418.8022,90,470345,2022-09-11,03:16:34,Jun,12.618924,87.301475
1005,BMW,3.3,217,268.0,255,310,73.5,4301,1861,1482,2805,2711,521,481,4,879.6854999999999,58,976630,2021-10-19,20:58:58,Jan,-112.917348,60.108748
1006,Volkswagen,7.9,347,245.6,231,132,73.7,4390,1824,1453,2995,2791,480,446,5,1290.5240999999999,55,464907,2023-05-05,00:09:02,Oct,159.900992,73.550338
1007,Volkswagen,3.3,215,350.1,472,337,76.4,4398,1864,1411,2923,2637,456,399,4,2272.9768,85,820437,2020-02-07,16:54:24,Feb,150.734029,-82.136585
1008,Polestar,7.6,337,291.1,301,252,78.3,4302,1802,1450,2919,2852,549,460,4,1170.413966666667,83,480790,2022-12-27,00:56:16,Jul,85.332488,-69.84475
1009,Volkswagen,6.8,303,253.8,499,339,71.3,4281,1894,1408,2979,2878,432,416,5,2326.7714666666666,55,886313,2022-11-17,06:55:59,Jun,54.352317,83.103235
1010,BMW,6.3,296,206.4,285,270,71.2,4533,1850,1409,2760,2746,552,426,5,1261.085,52,554662,2022-04-18,08:45:10,Jul,108.976749,-29.35855
1011,Tesla,7.7,327,479.5,342,249,80.5,4209,1898,1492,2840,2958,454,463,5,1904.197,98,946078,2022-05-31,22:31:10,Oct,-169.359857,67.968787
1012,Polestar,5.1,268,274.3,266,312,72.8,4573,1894,1424,2796,2843,550,519,5,1382.3354,73,480560,2024-04-02,08:14:55,Sep,71.754441,58.528114
1013,BMW,4.4,250,366.4,424,330,75.3,4280,1894,1443,2891,2837,575,534,4,982.3365333333333,97,496092,2023-05-24,08:17:44,Feb,131.315851,83.172194
1014,BMW,5.3,251,404.0,398,372,80.3,4708,1870,1476,2823,2973,546,467,7,1415.2337333333335,97,293564,2020-05-05,08:19:43,Feb,3.838088,43.218637
1015,Polestar,5.6,277,323.9,301,355,80.6,4763,1898,1415,2793,2700,589,504,5,1411.5690333333334,88,333243,2023-01-01,18:50:20,Jul,-12.753065,-56.858715
1016,Polestar,6.2,281,456.8,215,317,80.8,4644,1821,1453,2923,2731,566,518,5,929.2495,98,939747,2021-04-10,13:45:35,Feb,-99.279801,-37.664062
1017,BMW,4.7,248,353.5,373,554,83.0,4421,1892,1496,2966,2782,574,539,5,1923.6883000000003,99,336643,2021-02-23,03:47:21,Nov,-75.134853,89.743098
1018,Tesla,5.5,260,251.1,328,226,70.1,4339,1900,1496,2961,2710,569,471,4,1085.3703999999998,64,612608,2024-11-15,03:26:26,Jun,175.748535,71.463593
1019,BMW,7.9,333,271.6,271,136,72.6,4383,1808,1417,2728,2928,567,568,7,842.0275999999999,64,293850,2022-02-12,23:56:29,Mar,-82.653125,75.547487
1020,Volkswagen,3.9,237,281.3,420,518,70.4,4301,1813,1494,2881,3175,632,428,7,2233.1539999999995,71,472773,2024-06-18,14:16:58,Jun,67.923814,-46.201947
1021,BMW,4.8,236,311.7,207,132,85.0,4526,1802,1440,2862,2635,494,490,4,1078.4252,81,940229,2022-01-23,05:25:10,Jan,-105.864467,4.127488
1022,Volkswagen,4.2,221,283.8,328,223,70.7,4366,1861,1442,2852,2729,571,517,4,1378.9413333333332,72,966478,2023-12-24,05:34:11,Nov,4.404503,-8.332594
1023,Tesla,7.0,317,280.8,284,234,73.9,4729,1871,1487,2825,3157,639,512,7,1544.1537333333333,74,443148,2022-01-17,11:33:40,Feb,92.176423,9.039017
1024,Polestar,5.4,263,266.6,217,185,71.2,4367,1885,1454,2914,2606,505,423,4,831.1228,61,157707,2024-08-03,03:27:41,Mar,0.192166,64.446202
1025,Volkswagen,4.5,234,366.6,475,404,84.3,4337,1824,1437,2736,3049,547,440,7,1241.5908333333332,81,412391,2024-04-27,05:05:45,May,-161.529488,-5.687914
1026,BMW,7.7,324,323.4,267,373,70.5,4236,1805,1426,2851,2603,482,487,4,1465.9716,67,371469,2020-02-14,09:55:17,Nov,-99.214062,18.98393
1027,Tesla,7.7,334,398.7,207,235,79.0,4453,1830,1488,2836,2699,575,519,4,1121.6743999999999,82,803509,2024-01-09,20:19:42,Mar,152.226203,75.813618
1028,BMW,6.1,301,380.3,409,400,82.5,4250,1832,1422,2779,2753,446,420,5,1418.9765333333335,89,722596,2024-03-19,17:41:15,Jul,127.995456,-54.340193
